id,plan_id/id,code,name,sped_account_type,sped_parent_code,sped_nature,sped_date_start,sped_date_end
ref_1_1_02_02_02_80,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.80,Subconta - Mais Valia da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_02_81,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.81,(-) Subconta - Menos Valia da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_02_82,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.82,Subconta - Goodwill da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_02_84,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.84,Subconta - Variação de Mais Valia da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_02_85,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.85,(-) Subconta - Variação de Menos Valia da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_02_86,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.02.86,Subconta - Variação de Goodwill da Participação Anterior - Estágios – no Exterior,A,1.02.02.02,1,2015-01-01,
ref_1_1_02_02_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03,PROPRIEDADES PARA INVESTIMENTO,S,1.02.02,1,2015-01-01,
ref_1_1_02_02_03_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.01,Imóveis Próprios em Construção - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_05,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.05,Imóveis Próprios – Pelo Custo - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_06,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.06,Imóveis Próprios – Valor Justo - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_08,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.08,Imóveis Objeto de Arrendamento – Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_30,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.30,(-) Depreciação Acumuladas – Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_55,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_70,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.70,Subconta - Ajuste a Valor Justo – Propriedades para Investimentos.,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_71,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.71,Subconta - Ajuste Valor Justo – Depreciação Acumulada – Propriedade para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_75,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.75,( - ) Subconta – Ajuste a Valor Presente (AVP) - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_76,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.76,Subconta - Ajuste Valor Presente – Depreciação Acumulada - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_90,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.90,Subconta – Adoção Inicial – Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_91,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.91,Subconta – Adoção Inicial – Depreciação Acumulada - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_03_95,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.03.95,Subconta – Adoção Inicial - Taxa de Depreciação Diferente - Propriedades para Investimento,A,1.02.02.03,1,2015-01-01,
ref_1_1_02_02_10,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10,OUTROS INVESTIMENTOS PERMANENTES,S,1.02.02,1,2015-01-01,
ref_1_1_02_02_10_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.03,Investimentos Decorrentes de Incentivos Fiscais,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_10,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.10,Outros Investimentos Permanentes,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_20,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.20,(-) Outras Contas Retificadoras ­– Outros Investimentos Permanentes,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_50,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.50,( - ) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) – Outros Investimentos Permanentes,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_55,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Outros Investimentos,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_70,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.70,Subconta - Ajuste a Valor Justo - Outros Investimentos Permanentes,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_02_10_90,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.02.10.90,Subconta – Adoção Inicial - Outros Investimentos Permanentes,A,1.02.02.10,1,2015-01-01,
ref_1_1_02_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03,IMOBILIZADO,S,1.02,1,2015-01-01,
