id,codigo,nome,dt_inicio,dt_fim,cnpj
inst_emp_926,926,Mercantil Financeira Merc do Brasil Fin,2014-01-01,2025-07-31,33040601000187
inst_emp_932,932,Gazincred,2014-01-01,2025-07-31,11760553000169
inst_emp_934,934,AGIBANK FINANCEIRA S.A.,2014-01-01,2025-07-31,13660104000174
inst_emp_935,935,FACTA FINANCEIRA S A,2014-01-01,,15581638000130
inst_emp_936,936,Sicoob Coopernapi,2014-01-01,2025-07-31,16564240000159
inst_emp_954,954,DIGIO,2014-01-01,2025-07-31,27098060000145
inst_emp_957,957,Via Certa,2014-01-01,2025-07-31,05192316000146
inst_emp_961,961,VALOR SCM,2014-01-01,2025-07-31,07799277000175
inst_emp_964,964,FINANC BECKER,2014-01-01,2025-07-31,20443996000117
inst_emp_965,965,COOPER JOHNSON,2014-01-01,,45691128000187
inst_emp_968,968,UNIAO SEGURADORA S A VIDA PREVIDENCIA,2014-01-01,2025-07-31,95611141000157
inst_emp_971,971,PINCRED,2014-01-01,2025-07-31,35274306000110
