id,codigo,nome,dt_inicio,dt_fim,permite_alt_motivo,domestico,desc_resumida,suspende_sal_mensal,paga_sal_familia,gera_remuneracao,mei,segurado_especial,mpe,cod_categ_aplicavel
mot_afast_18_20,18,"Licença maternidade - Prorrogação por 60 dias, Lei 11.770/2008 (Empresa Cidadã), inclusive para o cônjuge sobrevivente",2018-01-01,,,N,Licença maternidade - Prorrogação por 60 dias (Empresa Cidadã),,,,N,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_19,19,Licença maternidade - Afastamento temporário por motivo de aborto não criminoso,2014-01-01,,,S,Licença maternidade - Aborto não criminoso,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_20,20,"Licença maternidade - Afastamento temporário por motivo de licença-maternidade decorrente de adoção ou guarda judicial de criança, inclusive para o cônjuge sobrevivente",2014-01-01,2021-07-18,,S,Licença maternidade - Adoção ou guarda judicial,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_20_23,20,Licença maternidade - Afastamento temporário por motivo de licença-maternidade para o cônjuge sobrevivente ou decorrente de adoção ou de guarda judicial de criança,2021-07-19,,,S,Licença maternidade - Cônjuge sobrevivente ou decorrente de adoção ou guarda judicial,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_21,21,Licença não remunerada ou sem vencimento,2014-01-01,,,S,Licença não remunerada ou sem vencimento,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_22,22,"Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, sem remuneração",2014-01-01,2021-07-18,,S,"Mandato eleitoral, sem remuneração",S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_22_26,22,Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral,2021-07-19,,,S,Mandato eleitoral,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
mot_afast_23,23,"Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, com remuneração",2014-01-01,2016-12-31,,S,"Mandato eleitoral, com remuneração",,,,N,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_23_28,23,"Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, com remuneração",2017-01-01,2021-07-18,,N,"Mandato eleitoral, com remuneração",,,,N,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_24,24,Mandato sindical - Afastamento temporário para exercício de mandato sindical,2014-01-01,,,S,Mandato sindical,,,,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;721
mot_afast_25,25,"Mulher vítima de violência - Art. 9º, § 2º, inciso II, da Lei 11.340/2006 - Lei Maria da Penha",2014-01-01,,,S,Mulher vítima de violência - Lei 11.340/2006,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_26,26,Participação de empregado no Conselho Nacional de Previdência Social - CNPS - Art. 3º da Lei 8.213/1991,2014-01-01,,,N,,,,,S,N,S,101;102;103;104;105;106;107;108;111
mot_afast_27,27,Qualificação - Afastamento por suspensão do contrato de acordo com o art. 476-A da CLT,2014-01-01,,,N,,,,,S,N,S,101;102;103;104;105;106;107;108;111
mot_afast_28,28,"Representante sindical - Afastamento pelo tempo que se fizer necessário, quando, na qualidade de representante de entidade sindical, estiver participando de reunião oficial de organismo internacional do qual o Brasil seja membro",2014-01-01,,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
mot_afast_29,29,Serviço militar - Afastamento temporário para prestar serviço militar obrigatório,2014-01-01,,,S,Serviço militar obrigatório,S,3,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_30,30,Suspensão disciplinar - Art. 474 da CLT,2014-01-01,2021-07-18,,S,Suspensão disciplinar - Art. 474 da CLT,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_31,31,Servidor público em disponibilidade,2014-01-01,,,N,,,,,N,N,N,301;307;314
mot_afast_33,33,"Licença maternidade - 180 dias, Lei 13.301/2016",2016-06-01,2021-07-18,,S,Licença maternidade - 180 dias - Crianças com sequelas neurológicas por doenças transmitidas pelo Aedes aegypti,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_34,34,Inatividade do trabalhador avulso (portuário ou não portuário) por período superior a 90 dias,2014-01-01,,,N,,,,,N,N,N,201;202
mot_afast_35,35,Licença maternidade - Antecipação e/ou prorrogação mediante atestado médico,2018-07-01,,,S,Licença maternidade - Antecipação e/ou prorrogação mediante atestado médico,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_36,36,Afastamento temporário de exercente de mandato eletivo para cargo em comissão,2021-05-10,,,N,,,,,N,N,N,303;304
mot_afast_37,37,Suspensão temporária do contrato de trabalho nos termos da Lei 14.020/2020 (conversão da MP 936/2020),2020-04-01,2020-12-31,,S,Suspensão temporária do contrato de trabalho nos termos da Lei 14.020/2020 (conversão da MP 936/2020),S,3,N,S,S,S,101;102;103;104;105;106;107;108;111
mot_afast_37_42,37,Suspensão temporária do contrato de trabalho nos termos do Programa Emergencial de Manutenção do Emprego e da Renda,2021-04-28,2021-08-25,,S,Suspensão temporária do contrato de trabalho nos termos do Programa Emergencial de Manutenção do Emprego e da Renda,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111
mot_afast_38,38,Impedimento de concorrência à escala para trabalho avulso,2020-04-04,,,N,,,,,N,N,N,201;202
mot_afast_39,39,Suspensão de pagamento de servidor público por não recadastramento,2014-01-01,,,N,,,,,N,N,N,101;301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
mot_afast_40,40,Exercício em outro órgão de servidor ou empregado público cedido,2014-01-01,,,N,,,,,N,N,N,410
mot_afast_41,41,Qualificação - Afastamento por suspensão do contrato de acordo com o art. 15 da Lei 14.457/2022,2022-05-05,,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111
mot_afast_42,42,Qualificação - Afastamento por suspensão do contrato de acordo com o art. 17 da Lei 14.457/2022,2022-05-05,,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111
mot_afast_43,43,"Licença Maternidade - Prorrogação por 60 dias, Lei 15.156/2025 - Criança com deficiência permanente decorrente de síndrome congênita associada ao vírus Zika",2025-07-02,,,S,Licença Maternidade - Prorrogação por 60 dias - Criança com deficiência permanente decorrente do vírus Zika,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_44,44,Suspensão contratual decorrente de ajuizamento de reclamação trabalhista pleiteando rescisão indireta do contrato,2014-01-01,,,S,Suspensão contratual decorrente de ajuizamento de rescisão indireta do contrato,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
mot_afast_45,45,Suspensão contratual para ajuizamento de inquérito para apuração de falta grave,2014-01-01,,,S,Suspensão contratual para ajuizamento de inquérito para apuração de falta grave,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
