id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_4763604,4763604,"Comércio varejista de artigos de caça, pesca e camping",2016-07-01,,4763604
cnae_mei_4771701,4771701,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",2016-07-01,,4771701
cnae_mei_4771703,4771703,Comércio varejista de produtos farmacêuticos homeopáticos,2016-07-01,,4771703
cnae_mei_4771704,4771704,Comércio varejista de medicamentos veterinários,2016-07-01,,4771704
cnae_mei_4772500,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",2016-07-01,,4772500
cnae_mei_4773300,4773300,Comércio varejista de artigos médicos e ortopédicos,2016-07-01,,4773300
cnae_mei_4774100,4774100,Comércio varejista de artigos de óptica,2016-07-01,,4774100
cnae_mei_4781400,4781400,Comércio varejista de artigos do vestuário e acessórios,2016-07-01,,4781400
cnae_mei_4782201,4782201,Comércio varejista de calçados,2016-07-01,,4782201
cnae_mei_4782202,4782202,Comércio varejista de artigos de viagem,2016-07-01,,4782202
cnae_mei_4783101,4783101,Comércio varejista de artigos de joalheria,2016-07-01,,4783101
cnae_mei_4783102,4783102,Comércio varejista de artigos de relojoaria,2016-07-01,,4783102
cnae_mei_4784900,4784900,Comércio varejista de gás liquefeito de petróleo (GLP),2016-07-01,,4784900
cnae_mei_4785701,4785701,Comércio varejista de antiguidades,2016-07-01,,4785701
cnae_mei_4785799,4785799,Comércio varejista de outros artigos usados,2016-07-01,,4785799
cnae_mei_4789001,4789001,"Comércio varejista de suvenires, bijuterias e artesanatos",2016-07-01,,4789001
cnae_mei_4789002,4789002,Comércio varejista de plantas e flores naturais,2016-07-01,,4789002
cnae_mei_4789003,4789003,Comércio varejista de objetos de arte,2016-07-01,,4789003
cnae_mei_4789004,4789004,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,2016-07-01,,4789004
cnae_mei_4789005,4789005,Comércio varejista de produtos saneantes domissanitários,2016-07-01,,4789005
cnae_mei_4789006,4789006,Comércio varejista de fogos de artifício e artigos pirotécnicos,2016-07-01,,4789006
cnae_mei_4789007,4789007,Comércio varejista de equipamentos para escritório,2016-07-01,,4789007
cnae_mei_4789008,4789008,Comércio varejista de artigos fotográficos e para filmagem,2016-07-01,,4789008
cnae_mei_4789099,4789099,Comércio varejista de outros produtos não especificados anteriormente,2016-07-01,,4789099
cnae_mei_4923001,4923001,Serviço de táxi,2016-07-01,,4923001
cnae_mei_4924800,4924800,Transporte escolar,2016-07-01,,4924800
