id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial5010,eSocial5010,Multa da extinção antecipada do contrato a termo,2014-01-01,2021-06-30,6904,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5010_192,eSocial5010,Multa da extinção antecipada do contrato a termo,2021-07-01,,6904,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5020,eSocial5020,Desconto do adiantamento de salário,2014-01-01,,9200,2,0,11,0,0,N,N,N,N,N,
rubr_pad_esocial5029,eSocial5029,Desconto de adiantamento de férias e adicional de 1/3 no mês,2014-01-01,,9221,2,0,13,0,0,N,N,N,N,N,
rubr_pad_esocial5030,eSocial5030,Desconto de adiantamento de férias e adicional de 1/3 no mês,2016-07-01,2016-08-31,9221,2,0,13,0,0,N,N,N,N,N,
rubr_pad_esocial5030_196,eSocial5030,Desconto de adiantamento de férias e adicional de 1/3 no mês,2016-09-01,,9221,2,0,13,0,0,N,N,N,N,N,
rubr_pad_esocial5031,eSocial5031,Desconto de pagamento de férias gozadas e abono pecuniário,2014-01-01,2021-06-30,9221,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5031_198,eSocial5031,Desconto de pagamento de férias gozadas e abono pecuniário,2021-07-01,,9221,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5032,eSocial5032,Desconto de pagamento de férias gozadas/vendidas,2020-04-01,2021-06-30,9221,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5032_200,eSocial5032,Desconto de pagamento de férias gozadas/vendidas,2021-07-01,,9221,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5035,eSocial5035,Estorno para prorrogação pgto. adicional de 1/3 de férias - MP 927/2020,2020-03-01,2020-12-31,1020,2,11,13,11,0,N,N,N,N,N,
rubr_pad_esocial5035_202,eSocial5035,Estorno para prorrogação pgto. adicional de 1/3 de férias - MP 1.046/2021,2021-04-01,2021-12-31,1020,2,11,13,11,0,N,N,N,N,N,
rubr_pad_esocial5036,eSocial5036,Estorno para prorrogação pgto. abono pecuniário de férias + 1/3 - MP 927/2020,2020-03-01,2020-12-31,1023,2,0,75,0,0,N,N,N,N,N,
rubr_pad_esocial5036_204,eSocial5036,Estorno para prorrogação pgto. abono pecuniário de férias + 1/3 - MP 1.046/2021,2021-04-01,2021-12-31,1023,2,0,75,0,0,N,N,N,N,N,
rubr_pad_esocial5040,eSocial5040,13º salário - Desconto do adiantamento,2014-01-01,2016-06-30,9214,2,0,0,12,0,N,N,N,N,N,
rubr_pad_esocial5040_206,eSocial5040,13º salário - Desconto do adiantamento,2016-07-01,2021-06-30,9214,2,0,0,12,0,N,N,N,N,N,
rubr_pad_esocial5040_207,eSocial5040,13º salário - Desconto do adiantamento,2021-07-01,,9214,2,0,9,12,0,N,N,N,N,N,
rubr_pad_esocial5041,eSocial5041,13º salário - Desconto do pagamento,2014-01-01,,9214,2,12,12,12,0,N,N,N,N,N,
rubr_pad_esocial5045,eSocial5045,13º salário - Desconto remuneração zerada,2014-01-01,,9214,2,12,12,12,0,N,N,N,N,N,
rubr_pad_esocial5048,eSocial5048,13º salário complementar - Desconto,2014-01-01,,5005,2,12,12,12,0,N,N,N,N,N,
rubr_pad_esocial5050,eSocial5050,Atrasos,2014-01-01,,9208,2,11,11,11,0,S,N,N,N,N,
rubr_pad_esocial5060,eSocial5060,Faltas,2014-01-01,,9207,2,11,11,11,0,S,N,N,N,N,
rubr_pad_esocial5070,eSocial5070,DSR sobre faltas e atrasos,2014-01-01,,9210,2,11,11,11,0,N,N,N,N,N,
rubr_pad_esocial5080,eSocial5080,Estagiários - Faltas e atrasos,2014-01-01,,9209,2,0,11,0,0,S,N,N,N,N,
rubr_pad_esocial5090,eSocial5090,Vale-Transporte - Desconto,2014-01-01,2021-06-30,9216,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5090_216,eSocial5090,Vale-Transporte - Desconto,2021-07-01,,9216,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5095,eSocial5095,Vale-Transporte - Devolução de valor pago a maior,2014-01-01,2021-06-30,9216,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5095_218,eSocial5095,Vale-Transporte - Devolução de valor pago a maior,2021-07-01,,9216,2,0,9,0,0,N,N,N,N,N,
