id,codigo,nome,dt_inicio,dt_fim,gera_dae,categ_trab_aplicavel,gera_ind_cumprimento,desc_resumida,cod_categ_aplicavel,aplic_deslig_baixa_jud
mot_deslig_01,01,"Rescisão com justa causa, por iniciativa do empregador",2014-01-01,,1,,1,"Rescisão com justa causa, por iniciativa do empregador",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_02,02,"Rescisão sem justa causa, por iniciativa do empregador",2014-01-01,,2,101;102;103;104;105;106,2,"Rescisão sem justa causa, por iniciativa do empregador",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_03,03,Rescisão antecipada do contrato a termo por iniciativa do empregador,2014-01-01,,2,101;102;103;104;105;106,2,Rescisão antecipada do contrato a termo por iniciativa do empregador,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_04,04,Rescisão antecipada do contrato a termo por iniciativa do empregado,2014-01-01,,1,,1,Rescisão antecipada do contrato a termo por iniciativa do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_05,05,Rescisão por culpa recíproca,2014-01-01,,2,101;102;103;104;105;106,2,Rescisão por culpa recíproca,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_06,06,Rescisão por término do contrato a termo,2014-01-01,,2,101;102;103;104;105;106,1,Rescisão por término do contrato a termo,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_07,07,Rescisão do contrato de trabalho por iniciativa do empregado,2014-01-01,,1,,1,Rescisão do contrato de trabalho por iniciativa do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_08,08,"Rescisão do contrato de trabalho por interesse do(a) empregado(a), nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT",2014-01-01,,1,,1,"Rescisão por interesse do empregado, nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_09,09,Rescisão por opção do empregado em virtude de falecimento do empregador individual ou empregador doméstico,2014-01-01,,1,,1,Rescisão por opção do empregado em virtude de falecimento do empregador individual ou doméstico,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_10,10,Rescisão por falecimento do empregado,2014-01-01,,1,,1,Rescisão por falecimento do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_11,11,"Transferência de empregado para empresa do mesmo grupo empresarial que tenha assumido os encargos trabalhistas, sem que tenha havido rescisão do contrato de trabalho",2014-01-01,,1,,1,"Transferência de empregado para empresa do mesmo grupo empresarial, sem rescisão do contrato",101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,N
mot_deslig_12,12,"Transferência de empregado da empresa consorciada para o consórcio que tenha assumido os encargos trabalhistas, e vice-versa, sem que tenha havido rescisão do contrato de trabalho",2014-01-01,,1,,1,"Transferência de empregado da consorciada para consórcio e vice-versa, sem rescisão do contrato",101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,N
mot_deslig_13,13,"Transferência de empregado de empresa ou consórcio, para outra empresa ou consórcio que tenha assumido os encargos trabalhistas por motivo de sucessão (fusão, cisão ou incorporação), sem que tenha havido rescisão do contrato de trabalho",2014-01-01,,1,,1,"Transferência de empregado de empresa ou consórcio por sucessão, sem rescisão do contrato de trabalho",101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,N
mot_deslig_14,14,"Rescisão do contrato de trabalho por encerramento da empresa, de seus estabelecimentos ou supressão de parte de suas atividades ou falecimento do empregador individual ou empregador doméstico sem continuação da atividade",2014-01-01,2024-01-21,2,101;102;103;104;105;106,2,Rescisão por falecimento do empregador individual ou doméstico sem continuação da atividade,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_15,15,Demissão de aprendizes por desempenho insuficiente ou inadaptação,2014-01-01,2019-01-20,1,,1,Demissão de aprendizes por desempenho insuficiente ou inadaptação,101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_15_16,15,"Rescisão do contrato de aprendizagem por desempenho insuficiente, inadaptação ou ausência injustificada do aprendiz à escola que implique perda do ano letivo",2019-01-21,2021-07-18,1,,1,"Rescisão de aprendiz por desempenho insuficiente, inadaptação ou ausência injustificada à escola",101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_16,16,"Declaração de nulidade do contrato de trabalho por infringência ao inciso II do art. 37 da Constituição Federal, quando mantido o direito ao salário",2014-01-01,,1,,1,"Nulidade do contrato de trabalho (art. 37, II, da Constituição), quando mantido o direito ao salário",101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_17,17,Rescisão indireta do contrato de trabalho,2014-01-01,,2,101;102;103;104;105;106,2,Rescisão indireta do contrato de trabalho,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
