id,codigo,nome,dt_inicio,dt_fim,desc_resumida
cid_b97,B97,Vírus como causa de doenças classificadas em outros capítulos,2014-01-01,,B97 Virus como doenc class outr cap
cid_b970,B970,"Adenovírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.0 Adenovirus como doenc class outr cap
cid_b971,B971,"Enterovírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.1 Enterovirus como doenc class outr cap
cid_b972,B972,"Coronavírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.2 Coronavirus como doenc class outr cap
cid_b973,B973,"Retrovírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.3 Retrovirus como doenc class outr cap
cid_b974,B974,"Vírus sincicial respiratório, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.4 Virus sincic resp como doenc class outr cap
cid_b975,B975,"Reovírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.5 Reovirus como doenc class outr cap
cid_b976,B976,"Parvovírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.6 Parvovirus como doenc class outr cap
cid_b977,B977,"Papilomavírus, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.7 Papilomavirus como doenc class outr cap
cid_b978,B978,"Outros agentes virais, como causa de doenças classificadas em outros capítulos",2014-01-01,,B97.8 Outr agent virais como doenc class outr cap
cid_b99,B99,"Doenças infecciosas, outras e as não especificadas",2014-01-01,,B99 Doenc infecc outr e as NE
cid_c00,C00,Neoplasia maligna do lábio,2014-01-01,,C00 Neopl malig do labio
cid_c000,C000,Neoplasia maligna do lábio superior externo,2014-01-01,,C00.0 Labio super externo
cid_c001,C001,Neoplasia maligna do lábio inferior externo,2014-01-01,,C00.1 Labio infer externo
cid_c002,C002,"Neoplasia maligna do lábio externo, não especificado",2014-01-01,,C00.2 Labio externo NE
cid_c003,C003,"Neoplasia maligna do lábio superior, face interna",2014-01-01,,C00.3 Labio super face interna
cid_c004,C004,"Neoplasia maligna do lábio inferior, face interna",2014-01-01,,C00.4 Labio infer face interna
cid_c005,C005,"Neoplasia maligna do lábio, sem especificação, face interna",2014-01-01,,C00.5 Labio s/especificacao face interna
cid_c006,C006,Neoplasia maligna da comissura labial,2014-01-01,,C00.6 Comissura labial
cid_c008,C008,Neoplasia maligna do lábio com lesão invasiva,2014-01-01,,C00.8 Lesao invasiva do labio
cid_c009,C009,"Neoplasia maligna do lábio, não especificado",2014-01-01,,C00.9 Labio NE
cid_c01,C01,Neoplasia maligna da base da língua,2014-01-01,,C01 Neopl malig da base da lingua
cid_c02,C02,Neoplasia maligna de outras partes e de partes não especificadas da língua,2014-01-01,,C02 Neopl malig outr partes e NE da lingua
cid_c020,C020,Neoplasia maligna da face dorsal da língua,2014-01-01,,C02.0 Face dorsal da lingua
cid_c021,C021,Neoplasia maligna da borda da língua,2014-01-01,,C02.1 Borda da lingua
cid_c022,C022,Neoplasia maligna da face ventral da língua,2014-01-01,,C02.2 Face ventral da lingua
cid_c023,C023,"Neoplasia maligna de dois terços anteriores da língua, parte não especificada",2014-01-01,,C02.3 Dois tercos anteriores da lingua parte NE
cid_c024,C024,Neoplasia maligna da amígdala lingual,2014-01-01,,C02.4 Amigdala lingual
cid_c028,C028,Neoplasia maligna da língua com lesão invasiva,2014-01-01,,C02.8 Lesao invasiva da lingua
cid_c029,C029,"Neoplasia maligna da língua, não especificada",2014-01-01,,C02.9 Lingua NE
cid_c03,C03,Neoplasia maligna da gengiva,2014-01-01,,C03 Neopl malig da gengiva
cid_c030,C030,Neoplasia maligna da gengiva superior,2014-01-01,,C03.0 Gengiva super
cid_c031,C031,Neoplasia maligna da gengiva inferior,2014-01-01,,C03.1 Gengiva infer
cid_c039,C039,"Neoplasia maligna da gengiva, não especificada",2014-01-01,,C03.9 Gengiva NE
cid_c04,C04,Neoplasia maligna do assoalho da boca,2014-01-01,,C04 Neopl malig do assoalho da boca
cid_c040,C040,Neoplasia maligna do assoalho anterior da boca,2014-01-01,,C04.0 Assoalho anterior da boca
cid_c041,C041,Neoplasia maligna do assoalho lateral da boca,2014-01-01,,C04.1 Assoalho lateral da boca
cid_c048,C048,Neoplasia maligna do assoalho da boca com lesão invasiva,2014-01-01,,C04.8 Lesao invasiva do assoalho da boca
cid_c049,C049,"Neoplasia maligna do assoalho da boca, não especificado",2014-01-01,,C04.9 Assoalho da boca NE
cid_c05,C05,Neoplasia maligna do palato,2014-01-01,,C05 Neopl malig do palato
cid_c050,C050,Neoplasia maligna do palato duro,2014-01-01,,C05.0 Palato duro
cid_c051,C051,Neoplasia maligna do palato mole,2014-01-01,,C05.1 Palato mole
cid_c052,C052,Neoplasia maligna da úvula,2014-01-01,,C05.2 Uvula
cid_c058,C058,Neoplasia maligna do palato com lesão invasiva,2014-01-01,,C05.8 Lesao invasiva do palato
cid_c059,C059,"Neoplasia maligna do palato, não especificado",2014-01-01,,C05.9 Palato NE
cid_c06,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca,2014-01-01,,C06 Neopl malig outr partes e partes NE da boca
cid_c060,C060,Neoplasia maligna da mucosa oral,2014-01-01,,C06.0 Mucosa oral
cid_c061,C061,Neoplasia maligna do vestíbulo da boca,2014-01-01,,C06.1 Vestibulo da boca
cid_c062,C062,Neoplasia maligna da área retromolar,2014-01-01,,C06.2 Area retromolar
cid_c068,C068,Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva,2014-01-01,,C06.8 Lesao invasiva outr partes e partes NE boca
cid_c069,C069,"Neoplasia maligna da boca, não especificada",2014-01-01,,C06.9 Boca NE
cid_c07,C07,Neoplasia maligna da glândula parótida,2014-01-01,,C07 Neopl malig da gland parotida
cid_c08,C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas,2014-01-01,,C08 Neopl malig outr gland saliv maiores e NE
