id,codigo,nome,active
l10n_br_esocial.nat_rubr_9217,9217,"Contribuição a Outras Entidades e Fundos",True
l10n_br_esocial.nat_rubr_9218,9218,"Retenções judiciais",True
l10n_br_esocial.nat_rubr_9219,9219,"Desconto de assistência médica ou odontológica - Plano coletivo empresarial",True
l10n_br_esocial.nat_rubr_9220,9220,"Alimentação - Desconto",False
l10n_br_esocial.nat_rubr_9221,9221,"Desconto de férias",True
l10n_br_esocial.nat_rubr_9222,9222,"Desconto de outros impostos e contribuições",True
l10n_br_esocial.nat_rubr_9223,9223,"Previdência complementar - Parte do empregado",True
l10n_br_esocial.nat_rubr_9224,9224,"FAPI - Parte do empregado",True
l10n_br_esocial.nat_rubr_9225,9225,"Previdência complementar - Parte do servidor",True
l10n_br_esocial.nat_rubr_9226,9226,"Desconto de férias - Abono",True
l10n_br_esocial.nat_rubr_9230,9230,"Contribuição sindical laboral",True
l10n_br_esocial.nat_rubr_9231,9231,"Mensalidade sindical ou associativa",True
l10n_br_esocial.nat_rubr_9232,9232,"Contribuição sindical - Assistencial",True
l10n_br_esocial.nat_rubr_9233,9233,"Contribuição sindical - Confederativa",True
l10n_br_esocial.nat_rubr_9240,9240,"Alimentação concedida em pecúnia - Desconto",True
l10n_br_esocial.nat_rubr_9241,9241,"Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",True
l10n_br_esocial.nat_rubr_9242,9242,"Alimentação em ticket ou cartão, não vinculada ao PAT - Desconto",True
l10n_br_esocial.nat_rubr_9243,9243,"Cesta básica ou refeição, vinculada ao PAT - Desconto",True
l10n_br_esocial.nat_rubr_9244,9244,"Cesta básica ou refeição, não vinculada ao PAT - Desconto",True
l10n_br_esocial.nat_rubr_9250,9250,"Seguro de vida - Desconto",True
l10n_br_esocial.nat_rubr_9253,9253,"Empréstimos eConsignado - Desconto",True
l10n_br_esocial.nat_rubr_9254,9254,"Empréstimos consignados - Desconto",True
l10n_br_esocial.nat_rubr_9255,9255,"Empréstimos do empregador - Desconto",True
l10n_br_esocial.nat_rubr_9258,9258,"Convênios",True
l10n_br_esocial.nat_rubr_9260,9260,"FIES - Desconto",True
l10n_br_esocial.nat_rubr_9270,9270,"Danos e prejuízos causados pelo trabalhador",True
l10n_br_esocial.nat_rubr_9290,9290,"Desconto de pagamento indevido em meses anteriores",False
l10n_br_esocial.nat_rubr_9291,9291,"Abate-teto",True
l10n_br_esocial.nat_rubr_9292,9292,"Ressarcimento ao erário",True
l10n_br_esocial.nat_rubr_9293,9293,"Honorários advocatícios",True
l10n_br_esocial.nat_rubr_9294,9294,"Redutor EC 41/03",True
l10n_br_esocial.nat_rubr_9299,9299,"Outros descontos",True
l10n_br_esocial.nat_rubr_9901,9901,"Base de cálculo da contribuição previdenciária",True
l10n_br_esocial.nat_rubr_9902,9902,"Total da base de cálculo do FGTS",True
l10n_br_esocial.nat_rubr_9903,9903,"Total da base de cálculo do IRRF",True
l10n_br_esocial.nat_rubr_9904,9904,"Total da base de cálculo do FGTS rescisório",True
l10n_br_esocial.nat_rubr_9905,9905,"Serviço militar",True
l10n_br_esocial.nat_rubr_9906,9906,"Remuneração no exterior",True
l10n_br_esocial.nat_rubr_9907,9907,"Total da contribuição da previdenciária patronal - RPPS",True
l10n_br_esocial.nat_rubr_9908,9908,"FGTS - Depósito",True
l10n_br_esocial.nat_rubr_9910,9910,"Seguros",True
l10n_br_esocial.nat_rubr_9911,9911,"Assistência Médica",True
l10n_br_esocial.nat_rubr_9912,9912,"Desconto de assistência médica ou odontológica - Plano diferente de coletivo empresarial",True
l10n_br_esocial.nat_rubr_9930,9930,"Salário-maternidade pago pela Previdência Social",True
l10n_br_esocial.nat_rubr_9931,9931,"Salário-maternidade pago pela Previdência Social - 13° salário",True
l10n_br_esocial.nat_rubr_9932,9932,"Auxílio-doença acidentário",True
l10n_br_esocial.nat_rubr_9933,9933,"Auxílio-doença",True
l10n_br_esocial.nat_rubr_9938,9938,"Isenção IRRF - 65 anos",True
l10n_br_esocial.nat_rubr_9939,9939,"Outros valores tributáveis",True
l10n_br_esocial.nat_rubr_9950,9950,"Horas extraordinárias - Banco de horas",False
l10n_br_esocial.nat_rubr_9951,9951,"Horas compensadas - Banco de horas",False
l10n_br_esocial.nat_rubr_9989,9989,"Outros valores informativos",True
